UF,ref_city,ref_prefix_i,ref_prefix_f,ref_latitude,ref_longiitude,ref_state
ba,lajedo do tabocal,45365,45369,"-13,47252","-40,2252295",bahia
ba,lamarao,48720,48724,"-11,79157774","-38,89298033",bahia
ba,lapao,44905,44909,"-11,38013905","-41,83190865",bahia
ba,lauro de freitas,42700,42799,"-12,89671761","-38,32346161",bahia
ba,lauro de freitas,42700,42749,"-12,89671761","-38,32346161",bahia
ba,lencois,46960,46969,"-12,56406312","-41,39403114",bahia
ba,licinio de almeida,46330,46349,"-14,67586608","-42,50268364",bahia
ba,livramento de nossa senhora,46140,46164,"-13,64950091","-41,84038728",bahia
ba,luis eduardo magalhaes,47850,47869,"-12,07837226","-45,80046441",bahia
ba,luis eduardo magalhaes,47850,47865,"-12,07837226","-45,80046441",bahia
ba,macajuba,46805,46809,"-12,14139268","-40,36517964",bahia
ba,macarani,45760,45769,"-15,56731615","-40,42204411",bahia
ba,macaubas,46500,46529,"-13,02367167","-42,69466575",bahia
ba,macurure,48650,48659,"-9,174705911","-39,05951503",bahia
ba,madre de deus,42600,42699,"-12,74031265","-38,60276857",bahia
ba,maetinga,46255,46269,"-14,66126636","-41,4836567",bahia
ba,maiquinique,45770,45779,"-15,6197717","-40,26051512",bahia
ba,mairi,44630,44634,"-11,71111062","-40,14978252",bahia
ba,malhada,46440,46444,"-14,34038328","-43,77162032",bahia
ba,malhada de pedras,46127,46129,"-14,3779454","-41,87869834",bahia
ba,manoel vitorino,45240,45249,"-14,14593221","-40,24201625",bahia
ba,mansidao,47160,47199,"-10,71582896","-44,03648541",bahia
ba,mansidao,47160,47161,"-10,71582896","-44,03648541",bahia
ba,maracas,45360,45364,"-13,43767449","-40,43128755",bahia
ba,maragogipe,44420,44429,"-12,77511992","-38,91888144",bahia
